installation_date,system_size,total_installed_price
4/26/2016,1.375,5250
7/17/2015,1.375,5250
4/22/2016,1.375,5250
3/2/2016,1.375,5250
1/13/2016,1.375,5250
6/3/2016,1.375,5250
3/4/2016,1.375,5250
12/17/2015,1.375,5250
3/4/2016,1.375,5250
4/5/2016,1.375,5250
1/29/2016,1.375,5250
8/7/2015,1.375,5250
9/17/2015,1.375,5250
12/17/2015,1.375,5250
3/10/2016,1.375,5250
8/5/2015,1.375,5250
10/1/2015,1.375,5250
1/29/2016,1.375,5250
4/22/2016,1.375,5250
9/3/2015,1.375,5250
9/21/2015,1.375,5250
9/8/2015,1.375,5250
11/22/2015,1.375,5250
1/12/2016,1.375,5250
10/8/2015,1.375,5250
10/30/2015,1.375,5250
1/4/2016,1.375,5250
3/4/2016,1.375,5250
9/9/1999,1.375,5250
12/17/2015,1.375,5250
3/4/2016,1.375,5250
3/25/2013,1.38,4133.75
1/30/2013,1.38,4399
3/14/2012,1.38,5700
4/3/2012,1.38,5740
8/26/2011,1.38,6000
2/17/2012,1.38,6219
10/18/2012,1.38,6671.52
7/2/2010,1.38,7488
11/3/2010,1.38,7900
12/21/2010,1.38,8243
7/21/2011,1.38,8469
12/21/2010,1.38,8518
2/22/2011,1.38,8638
10/26/2011,1.38,8852
8/12/2010,1.38,9000
1/21/2010,1.38,9000
1/26/2012,1.38,9173.6
1/9/2012,1.38,10616.34
6/15/2011,1.38,13688.74
1/20/2012,1.38,14000
4/29/2011,1.38,14383.45
7/19/2011,1.38,15009.5
6/15/2011,1.38,15249
9/29/2011,1.38,16500
7/26/2011,1.38,16583.8
8/25/2011,1.38,16860
7/12/2011,1.38,16980
8/25/2011,1.38,17856
4/26/2011,1.38,18000
3/23/2011,1.38,18028
11/29/2011,1.38,18044
7/22/2011,1.38,19024
2/22/2011,1.38,19205
8/30/2011,1.38,19478
5/12/2011,1.38,19743.25
10/3/2011,1.38,22417
3/17/2011,1.38,23348
3/3/2011,1.38,23390
8/3/2011,1.38,23730
8/1/2011,1.38,25637
10/6/2011,1.38,29806.95
6/2/2009,1.4,4850
10/10/2016,1.4,5250
6/14/2016,1.4,5250
8/15/2016,1.4,5250
12/5/2016,1.4,5250
6/17/2016,1.4,5250
9/1/2016,1.4,5250
9/1/2016,1.4,5250
4/6/2016,1.4,5250
5/18/2016,1.4,5250
7/5/2016,1.4,5250
9/16/2016,1.4,5250
8/15/2016,1.4,5250
10/20/2016,1.4,5250
9/2/2016,1.4,5250
10/6/2016,1.4,5250
6/3/2016,1.4,5250
10/3/2016,1.4,5250
10/6/2016,1.4,5250
9/12/2016,1.4,5250
10/6/2016,1.4,5250
11/3/2016,1.4,5250
11/14/2016,1.4,5250
6/3/2016,1.4,5250
10/17/2016,1.4,5250
11/9/2016,1.4,5250
7/6/2016,1.4,5250
6/13/2016,1.4,5250
10/10/2016,1.4,5250
9/1/2016,1.4,5250
12/2/2016,1.4,5250
8/3/2016,1.4,5250
6/13/2016,1.4,5250
6/3/2016,1.4,5250
11/2/2016,1.4,5250
10/6/2016,1.4,5250
11/1/2016,1.4,5250
8/17/2016,1.4,5250
10/13/2016,1.4,5250
11/1/2016,1.4,5250
8/3/2016,1.4,5250
6/14/2016,1.4,5250
9/16/2016,1.4,5250
11/2/2016,1.4,5250
6/17/2016,1.4,5250
7/5/2016,1.4,5250
9/13/2016,1.4,5250
11/3/2016,1.4,5250
7/20/2016,1.4,5250
6/3/2016,1.4,5250
11/2/2016,1.4,5250
6/17/2016,1.4,5250
6/17/2016,1.4,5250
6/7/2016,1.4,5250
12/5/2016,1.4,5250
9/12/2016,1.4,5250
7/15/2016,1.4,5250
9/13/2016,1.4,5250
8/3/2016,1.4,5250
6/13/2016,1.4,5250
7/12/2016,1.4,5250
9/1/2016,1.4,5250
7/13/2016,1.4,5250
8/3/2016,1.4,5250
10/17/2016,1.4,5250
11/1/2016,1.4,5250
7/6/2016,1.4,5250
12/6/2016,1.4,5250
8/3/2016,1.4,5250
7/6/2016,1.4,5250
5/18/2016,1.4,5250
10/3/2016,1.4,5250
8/15/2016,1.4,5250
9/2/2016,1.4,5250
12/9/2009,1.4,5800
2/19/2018,1.4,6604
12/22/2010,1.4,6727
11/2/2016,1.4,6766
4/12/2011,1.4,7000
4/14/2011,1.4,7350
8/31/2010,1.4,8413
3/17/2009,1.4,9500
4/2/2008,1.4,10148
8/28/2009,1.4,10495
2/13/2009,1.4,10752.43
2/8/2013,1.4,11000
9/21/2009,1.4,12591
7/13/2009,1.4,12710
3/23/2006,1.4,12870.44
6/30/2006,1.4,12932.53
9/25/2006,1.4,13074
3/19/2009,1.4,13160
3/30/2010,1.4,13586
4/9/2012,1.41,6520
10/19/2011,1.41,7050
12/5/2012,1.41,7121
4/16/2012,1.41,7300
1/4/2012,1.41,7900
12/12/2011,1.41,7900
3/1/2012,1.41,7900
11/23/2011,1.41,7900
11/23/2011,1.41,7900
12/16/2010,1.41,8954
12/16/2010,1.41,8954
9/18/2013,1.41,10147
9/30/2011,1.41,10600
12/15/2010,1.41,11000
8/10/2011,1.41,11300
10/27/2011,1.41,11300
6/13/2011,1.41,11300
3/30/2012,1.41,11300
9/8/2011,1.41,11300
7/29/2011,1.41,11300
5/6/2011,1.41,11300
3/16/2011,1.41,11300
7/21/2011,1.41,11300
11/2/2011,1.41,11300
2/4/2011,1.41,11300
4/28/2011,1.41,11300
9/26/2011,1.41,11300
8/11/2011,1.41,11300
5/18/2011,1.41,11300
9/26/2011,1.41,11300
8/23/2011,1.41,11300
9/2/2011,1.41,11300
1/21/2011,1.41,11756.02
11/27/2012,1.41,15777
2/23/2012,1.41,17400
8/1/2011,1.41,17400
3/29/2013,1.41,17635
3/25/2013,1.41,17635
7/14/2011,1.41,17635
1/23/2013,1.41,17635
8/24/2012,1.41,23391
2/26/2016,1.425,1500
3/10/2016,1.425,5411.76
9/16/2008,1.43,13229.69
4/7/2015,1.44,2500
5/4/2012,1.44,3000
5/10/2013,1.44,4350
12/21/2012,1.44,5350
10/4/2012,1.44,5720
6/18/2013,1.44,6222
1/20/2012,1.44,6700
5/1/2013,1.44,7164
7/16/2012,1.44,7403.42
5/20/2013,1.44,8000
11/16/2012,1.44,8297
5/8/2012,1.44,8568
9/14/2012,1.44,8568
12/27/2012,1.44,8600
10/15/2012,1.44,8600
10/4/2012,1.44,8600
4/12/2012,1.44,8610
3/21/2012,1.44,8610
12/27/2012,1.44,8610
3/21/2012,1.44,8610
7/5/2012,1.44,8610
9/7/2012,1.44,8610
5/23/2012,1.44,8610
9/7/2012,1.44,8610
5/23/2012,1.44,8610
6/25/2012,1.44,8610
9/24/2012,1.44,8610
12/11/2012,1.44,8610
4/13/2012,1.44,8610
5/10/2012,1.44,8610
5/23/2012,1.44,8610
3/21/2012,1.44,8610
4/26/2012,1.44,8610
10/4/2012,1.44,8610
4/26/2012,1.44,8610
4/13/2012,1.44,8610
5/10/2012,1.44,8610
7/12/2010,1.44,9000
6/26/2012,1.44,9589
6/4/2012,1.44,9692
1/25/2012,1.44,9740
8/21/2012,1.44,9960
5/20/2011,1.44,10058
8/31/2009,1.44,11100
7/31/2009,1.44,11865
10/9/2013,1.44,12970
7/26/2010,1.44,15686.27
10/27/2011,1.44,16950
12/21/2011,1.44,17121.74
9/17/2009,1.44,17927.32
5/17/2013,1.44,18212
12/16/2011,1.44,533536
1/4/2018,1.45,5300
9/9/1999,1.45,6095
6/15/2017,1.456,5500
8/22/2011,1.456,8150
12/18/2012,1.47,5294
1/2/2013,1.47,5294
10/26/2012,1.47,5294
1/2/2013,1.47,5294
12/18/2012,1.47,5294
10/26/2012,1.47,5294
11/14/2012,1.47,5294
12/18/2012,1.47,5294
5/6/2013,1.47,5294
1/2/2013,1.47,5294
1/2/2013,1.47,5294
10/15/2012,1.47,5294
5/6/2013,1.47,5550
5/6/2013,1.47,5550
6/7/2013,1.47,5550
4/18/2013,1.47,5550
8/6/2013,1.47,5550
5/2/2013,1.47,5550
7/1/2013,1.47,5550
8/23/2013,1.47,5550
5/5/2013,1.47,5550
7/1/2013,1.47,5550
6/12/2013,1.47,5550
6/4/2013,1.47,5550
5/5/2013,1.47,5550
5/6/2013,1.47,5550
3/14/2013,1.47,5550
5/2/2013,1.47,5550
6/18/2013,1.47,5550
4/18/2013,1.47,5550
3/14/2013,1.47,5550
5/2/2013,1.47,5550
8/6/2013,1.47,5550
4/18/2013,1.47,5550
10/15/2012,1.47,5735
9/27/2012,1.47,5735
9/24/2012,1.47,5735
10/15/2012,1.47,5735
3/14/2013,1.47,5820
3/14/2013,1.47,5820
10/15/2012,1.47,5924
11/27/2013,1.47,5943
11/7/2013,1.47,5943
11/6/2013,1.47,5943
11/25/2013,1.47,5943
9/4/2013,1.47,5943
12/12/2013,1.47,5943
6/18/2013,1.47,5943
8/8/2013,1.47,5943
5/15/2013,1.47,5943
11/7/2013,1.47,5943
5/2/2013,1.47,5943
9/4/2013,1.47,5943
10/10/2013,1.47,5943
12/10/2013,1.47,5943
8/6/2013,1.47,5943
12/17/2013,1.47,5943
10/4/2013,1.47,5943
5/15/2013,1.47,5943
10/4/2013,1.47,5943
9/4/2013,1.47,5943
6/12/2013,1.47,5943
11/7/2013,1.47,5943
9/4/2013,1.47,5943
8/8/2013,1.47,5943
9/20/2013,1.47,5943
6/18/2013,1.47,5943
7/22/2013,1.47,5943
11/25/2013,1.47,5943
8/6/2013,1.47,5943
7/31/2013,1.47,5943
6/18/2013,1.47,5943
6/18/2013,1.47,5943
10/10/2013,1.47,5943
5/2/2013,1.47,5943
8/6/2013,1.47,5943
10/10/2013,1.47,5943
12/12/2013,1.47,5943
7/5/2013,1.47,5943
9/4/2013,1.47,5943
11/6/2013,1.47,5943
12/3/2013,1.47,5943
12/12/2013,1.47,5943
10/10/2013,1.47,5943
10/4/2013,1.47,5943
9/20/2013,1.47,5943
6/12/2013,1.47,5943
7/22/2013,1.47,5943
12/3/2013,1.47,5943
5/2/2013,1.47,5943
4/18/2013,1.47,5943
7/5/2013,1.47,5943
6/7/2013,1.47,5943
7/22/2013,1.47,5943
5/15/2013,1.47,5943
5/21/2013,1.47,5943
9/20/2013,1.47,5943
5/15/2013,1.47,5943
9/20/2013,1.47,5943
5/4/2016,1.47,6468
2/15/2016,1.47,6479.1
11/20/2013,1.47,6615
6/21/2013,1.47,6982.5
9/19/2012,1.47,7202
4/18/2013,1.47,7294
5/2/2013,1.47,7350
5/15/2013,1.47,7350
5/2/2013,1.47,7350
5/2/2013,1.47,7350
5/2/2013,1.47,7350
5/17/2012,1.47,7753.95
5/17/2012,1.47,7753.95
4/26/2012,1.47,7753.95
7/30/2013,1.47,7875
2/7/2012,1.47,7900
2/7/2012,1.47,7900
8/27/2012,1.47,8202
8/7/2013,1.47,8600
3/12/2013,1.47,8600
1/16/2013,1.47,8600
2/1/2013,1.47,8600
3/14/2013,1.47,8600
1/9/2013,1.47,8610
12/11/2012,1.47,8610
1/9/2013,1.47,8610
1/30/2013,1.47,8610
1/30/2013,1.47,8610
2/1/2013,1.47,8610
12/11/2012,1.47,8610
1/16/2013,1.47,8610
12/11/2012,1.47,8610
1/9/2013,1.47,8610
1/16/2013,1.47,8610
2/1/2013,1.47,8610
1/30/2013,1.47,8610
12/18/2012,1.47,8610
12/18/2012,1.47,8610
1/30/2013,1.47,8610
9/10/2012,1.47,8752
5/17/2012,1.47,9213.75
6/16/2011,1.47,9555
2/27/2012,1.47,11300
10/15/2012,1.47,14000
11/14/2017,1.475,6490
11/22/2005,1.476,11491
7/18/2005,1.476,11594.96
11/5/2013,1.5,4900
5/6/2015,1.5,6600
2/12/2015,1.5,6600
5/12/2016,1.5,6600
6/1/2016,1.5,6600
9/9/1999,1.5,6600
5/30/2014,1.5,6600
5/16/2016,1.5,6600
5/23/2016,1.5,6600
7/1/2015,1.5,6600
5/7/2016,1.5,6600
9/9/1999,1.5,6600
3/28/2014,1.5,6730
10/30/2015,1.5,6754.05
9/13/2013,1.5,6850
2/26/2014,1.5,6900
10/30/2017,1.5,7500
8/4/2008,1.5,10925
4/29/2008,1.5,12164
7/11/2006,1.5,14322.74
5/23/2012,1.5,17400
4/10/2018,1.5,24324
3/6/2013,1.505,7978
4/19/2012,1.505,8200
11/19/2010,1.505,10668
7/6/2010,1.51,10876
8/26/2013,1.52,6533
10/4/2013,1.52,7259.97
2/11/2011,1.52,7600
3/19/2008,1.52,8794
3/19/2008,1.52,8794
3/11/2008,1.52,9902
12/2/2007,1.52,10160
6/6/2008,1.52,11700
10/1/2007,1.52,12091
2/2/2009,1.52,13230
9/9/1999,1.525,6433
6/30/2016,1.53,4972.5
3/9/2016,1.53,5320
8/27/2014,1.53,6732
6/18/2013,1.53,7729
8/26/2011,1.53,7833
5/30/2007,1.53,15050
5/9/2007,1.53,15058.63
4/27/2009,1.53,132610
9/7/2012,1.54,5628
5/24/2010,1.54,10000
4/19/2010,1.54,10823
3/16/2011,1.54,12770
11/14/2016,1.55,6906.5
3/8/2017,1.56,3900
3/8/2017,1.56,5070
8/17/2017,1.56,6864
5/6/2017,1.56,6864
7/11/2016,1.56,6864
8/17/2017,1.56,6864
9/12/2016,1.56,7000
2/6/2013,1.56,8752
12/21/2009,1.56,9545
11/26/2012,1.56,9607
5/17/2013,1.56,11000
7/22/2013,1.56,11000
6/18/2013,1.56,11000
6/18/2013,1.56,11000
7/22/2013,1.56,11000
4/22/2013,1.56,11000
6/18/2013,1.56,11000
7/22/2013,1.56,11000
6/18/2013,1.56,11000
6/18/2013,1.56,11000
7/22/2013,1.56,11000
7/22/2013,1.56,11000
5/6/2013,1.56,11000
4/17/2013,1.56,11000
12/19/2008,1.56,17496.24
8/29/2017,1.565,4885
2/2/2011,1.568,24299
6/13/2008,1.57,13169
11/8/2018,1.575,6500
1/14/2011,1.575,7108
12/7/2009,1.575,7217
8/20/2010,1.575,9000
6/21/2010,1.575,9292.5
2/11/2011,1.575,9765
7/14/2009,1.575,9947
7/8/2010,1.575,10925
6/15/2009,1.575,12990
4/23/2009,1.575,14016
5/5/2009,1.575,19828
1/14/2009,1.58,12691
12/8/2016,1.59,3350
8/16/2018,1.59,4030
8/15/2018,1.59,4030
8/15/2018,1.59,4030
3/23/2018,1.59,4030
3/23/2018,1.59,4030
8/22/2018,1.59,4030
3/23/2018,1.59,4030
8/15/2018,1.59,4030
3/12/2018,1.59,4030
3/23/2018,1.59,4030
6/26/2018,1.59,4030
3/23/2018,1.59,4030
3/12/2018,1.59,4030
4/13/2018,1.59,4030
8/15/2018,1.59,4030
5/9/2018,1.59,4030
3/12/2018,1.59,4030
8/15/2018,1.59,4030
3/23/2018,1.59,4030
8/15/2018,1.59,4030
3/8/2018,1.59,4030
8/15/2018,1.59,4030
4/13/2018,1.59,4030
3/12/2018,1.59,4030
3/12/2018,1.59,4030
5/10/2018,1.59,4030
3/13/2018,1.59,4030
3/1/2018,1.59,4030
3/12/2018,1.59,4030
3/6/2018,1.59,4030
3/23/2018,1.59,4030
3/13/2018,1.59,4030
3/23/2018,1.59,4030
3/23/2018,1.59,4030
4/13/2018,1.59,4030
3/23/2018,1.59,4030
8/15/2018,1.59,4030
3/12/2018,1.59,4030
3/23/2018,1.59,4030
3/1/2018,1.59,4030
3/12/2018,1.59,4030
4/13/2018,1.59,4030
8/15/2018,1.59,4030
4/13/2018,1.59,4030
4/13/2018,1.59,4030
11/22/2016,1.59,6996
5/25/2016,1.59,6996
12/19/2016,1.59,6996
1/27/2017,1.59,6996
9/21/2016,1.59,6996
2/13/2017,1.59,6996
12/1/2016,1.59,6996
10/12/2016,1.59,6996
1/16/2017,1.59,8982
10/28/2016,1.59,9553
