meta/uid,meta/ll/0,meta/ll/1,meta/sids/0,meta/sids/1,meta/sids/2,meta/sids/3,meta/state,meta/elev,meta/name,data/0,meta/sids/4,meta/sids/5,meta/sids/6,meta/sids/7,meta/sids/8
80246,,,LHUthr 9,,,,AZ,,Lake Havasu City Area,94,,,,,
80352,-111.25928,35.16643,028910 2,USC00028910 6,TARA3 7,,AZ,5815,TWIN ARROWS,80,,,,,
77480,-109.06,36.33,USS0009N05S 6,,,,AZ,9200,BEAVER SPRING,70,,,,,
77481,-109.16,33.9,USS0009S04S 6,,,,AZ,8500,NUTRIOSO,64,,,,,
77515,-111.74,35.27,USS0011P02S 6,,,,AZ,7350,FORT VALLEY,M,,,,,
77516,-111.51,34.97,USS0011R12S 6,,,,AZ,8500,MORMON MTN SUMMIT,67,,,,,
77517,-111.61,34.86,USS0011R13S 6,,,,AZ,6393,BAR M,71.5,,,,,
77526,-112.06,35.26,USS0012P01S 6,,,,AZ,7100,CHALENDER,71,,,,,
30931,-113.3666,35.2947,022527 2,USC00022527 6,DMRA3 7,,AZ,5492,DIAMOND M. RANCH,77,,,,,
31015,-111.8221,35.2302,020678 2,USC00020678 6,FGZ 7,,AZ,7152,BELLEMONT WFO,65,,,,,
31049,-111.6917,32.7306,020404 2,USC00020404 6,ACYA3 7,AZCA3 7,AZ,1525,ARIZONA CITY,92.5,,,,,
31383,-111.8605,33.7275,026603 2,USC00026603 6,PPKA3 7,,AZ,2565,PINNACLE PEAK,M,,,,,
31414,-111.6444,33.4191,022782 2,USC00022782 6,EMSA3 7,,AZ,1518,EAST MESA,96,,,,,
31722,-111.1696,32.2395,53131 1,028830 2,72275 4,USW00053131 6,AZ,2733,TUCSON 11 W,90,SDMA3 7,,,,
31723,-110.5087,31.5907,53132 1,022798 2,72276 4,USW00053132 6,AZ,4811,ELGIN 5 S,76.5,ADRA3 7,,,,
32726,,,FLGthr 9,,,,AZ,,Flagstaff Area,71,,,,,
32763,,,INWthr 9,,,,AZ,,Winslow Area,84.5,,,,,
32828,,,PHXthr 9,,,,AZ,,Phoenix Area,101,,,,,
32878,,,TUSthr 9,,,,AZ,,Tucson Area,93,,,,,
32889,,,YUMthr 9,,,,AZ,,Yuma Area,98.5,,,,,
33061,-110.42806,31.60722,53146 1,ALK 3,KALK 5,USW00053146 6,AZ,4768,FT HUACHUCA PIONEER AIRFIELD,80,,,,,
33596,-110.9302,32.4177,021357 2,USC00021357 6,CATA3 7,,AZ,2707,CATALINA STATE PARK,87.5,,,,,
33843,-110.3552,31.8352,024534 2,USC00024534 6,KARA3 7,,AZ,4690,KARTCHNER CAVERNS,77.5,,,,,
34558,-114.1884,32.835,53154 1,029651 2,72279 4,USW00053154 6,AZ,620,YUMA 27 ENE,97.5,RPSA3 7,,,,
34569,-112.3374,35.7552,53155 1,029370 2,72277 4,USW00053155 6,AZ,5990,WILLIAMS 35 NNW,75,BBRA3 7,,,,
34624,-110.9808,32.3391,028590 2,USC00028590 6,TCHA3 7,,AZ,2527,TOHONO CHUL,89.5,,,,,
34846,-110.7933,33.3947,023501 2,USC00023501 6,GLEA3 7,,AZ,3660,GLOBE #3,83.5,,,,,
35039,-111.6313,32.8118,027187 2,USC00027187 6,ROBA3 7,,AZ,1495,ROBSON RANCH,96,,,,,
