Location,Population,Year
Prescott,41899,2015
Prescott Valley,42197,2015
Quartzsite,3626,2015
Queen Creek,34614,2015
Safford,9683,2015
Apache Junction,38131,2014
Avondale,79646,2014
Benson,4927,2014
Bisbee,5308,2014
Buckeye,59470,2014
Bullhead,39364,2014
Camp Verde,11097,2014
Carefree,3526,2014
Casa Grande,51478,2014
Cave Creek,5253,2014
Chandler,254276,2014
Chino Valley,11019,2014
Clarkdale,4165,2014
Clifton,3626,2014
Colorado,4792,2014
Coolidge,12209,2014
Cottonwood,11595,2014
Dewey-Humboldt,3971,2014
Douglas,16744,2014
Duncan,783,2014
Eagar,4913,2014
El Mirage,33532,2014
Eloy,16738,2014
Flagstaff,68785,2014
Florence,26912,2014
Fountain Hills,23573,2014
Fredonia,1317,2014
Gila Bend,2001,2014
Gilbert,239277,2014
Glendale,237517,2014
Globe,7375,2014
Goodyear,75664,2014
Guadalupe,6106,2014
Hayden,648,2014
Holbrook,5016,2014
Huachuca,1775,2014
Jerome,451,2014
Kearny,2017,2014
Kingman,28549,2014
Lake Havasu,53103,2014
Litchfield Park,5392,2014
Mammoth,1472,2014
Marana,39888,2014
Maricopa,47442,2014
Mesa,464704,2014
Miami,1781,2014
Nogales,20407,2014
Oro Valley,42018,2014
Page,7440,2014
Paradise Valley,13663,2014
Parker,3057,2014
Patagonia,898,2014
Payson,15245,2014
Peoria,166934,2014
Phoenix,1537058,2014
Pima,2477,2014
Pinetop-Lakeside,4318,2014
Prescott,40958,2014
Prescott Valley,41075,2014
Quartzsite,3613,2014
Queen Creek,32236,2014
Safford,9744,2014
Sahuarita,27547,2014
St. Johns,3497,2014
San Luis,31091,2014
Scottsdale,230512,2014
Sedona,10281,2014
Show Low,10841,2014
Sierra Vista,43806,2014
Snowflake,5644,2014
Somerton,14912,2014
South Tucson,5730,2014
Springerville,1964,2014
Star Valley,2276,2014
Superior,2916,2014
Surprise,126275,2014
Taylor,4144,2014
Tempe,172816,2014
Thatcher,5023,2014
Tolleson,6929,2014
Tombstone,1322,2014
Tucson,527972,2014
Tusayan,576,2014
Wellton,2956,2014
Wickenburg,6685,2014
Willcox,3607,2014
Williams,3094,2014
Winkelman,346,2014
Winslow,9604,2014
Young,6542,2014
Yuma,93400,2014
Apache Junction,37130,2013
Avondale,78822,2013
Benson,5005,2013
Bisbee,5360,2013
Buckeye,56683,2013
Bullhead,39383,2013
Camp Verde,11018,2013
Carefree,3487,2013
Casa Grande,50111,2013
Cave Creek,5074,2013
Chandler,249146,2013
Chino Valley,10943,2013
Clarkdale,4122,2013
Clifton,3501,2013
Colorado,4812,2013
Coolidge,11887,2013
Cottonwood,11424,2013
