city,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id,avg_temp
Corona de Tucson,AZ,Arizona,4019,Pima,31.9495,-110.7836,7583,480,polygon,FALSE,FALSE,America/Phoenix,3,85641,1840018106,88.5
Cottonwood,AZ,Arizona,4025,Yavapai,34.7194,-112.0015,12023,279,polygon,FALSE,TRUE,America/Phoenix,3,86326,1840019168,88
Cowlic,AZ,Arizona,4019,Pima,31.8049,-111.9876,189,91,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023069,92
Crozier,AZ,Arizona,4015,Mohave,35.4227,-113.6486,25,9,polygon,FALSE,FALSE,America/Phoenix,3,86437 86434,1840023176,81
Crystal Beach,AZ,Arizona,4015,Mohave,34.5714,-114.3926,135,154,polygon,FALSE,TRUE,America/Los_Angeles,3,86404,1840075284,94
Cutter,AZ,Arizona,4007,Gila,33.3584,-110.6593,0,0,polygon,FALSE,FALSE,America/Phoenix,3,85550,1840022863,84
Dateland,AZ,Arizona,4027,Yuma,32.8209,-113.5418,356,6,polygon,FALSE,FALSE,America/Phoenix,3,85333 85347,1840022978,99.5
Deer Creek,AZ,Arizona,4007,Gila,34.0644,-111.3505,185,40,polygon,FALSE,TRUE,America/Phoenix,3,85541,1840075296,82
Del Muerto,AZ,Arizona,4001,Apache,36.187,-109.4348,341,132,polygon,FALSE,FALSE,America/Denver,3,86503,1840027931,81.5
Dennehotso,AZ,Arizona,4001,Apache,36.8209,-109.879,792,30,polygon,FALSE,FALSE,America/Denver,3,86535,1840018995,77.5
Desert Hills,AZ,Arizona,4015,Mohave,34.5506,-114.3754,2838,254,polygon,FALSE,FALSE,America/Los_Angeles,3,86404,1840027987,94
Dewey-Humboldt,AZ,Arizona,4025,Yavapai,34.5174,-112.2498,4064,84,polygon,FALSE,TRUE,America/Phoenix,3,86329 86327,1840021771,79
Dilkon,AZ,Arizona,4017,Navajo,35.3606,-110.3155,1320,30,polygon,FALSE,FALSE,America/Denver,3,86047,1840018960,78
Dolan Springs,AZ,Arizona,4015,Mohave,35.5904,-114.2852,2479,16,polygon,FALSE,FALSE,America/Phoenix,3,86441,1840019744,90
Doney Park,AZ,Arizona,4005,Coconino,35.2687,-111.5053,5522,142,polygon,FALSE,TRUE,America/Phoenix,3,86004,1840075310,79.5
Donovan Estates,AZ,Arizona,4027,Yuma,32.7094,-114.6782,1373,4370,polygon,FALSE,TRUE,America/Tijuana,2,85364,1840075311,97.5
Douglas,AZ,Arizona,4003,Cochise,31.3602,-109.5394,16438,624,polygon,FALSE,TRUE,America/Phoenix,3,85608 85607 85655,1840019496,81
Dragoon,AZ,Arizona,4003,Cochise,32.0263,-110.0365,48,10,polygon,FALSE,FALSE,America/Phoenix,3,85609,1840023085,81.5
Drexel Heights,AZ,Arizona,4019,Pima,32.1457,-111.0479,28187,559,polygon,FALSE,FALSE,America/Phoenix,3,85757 85746,1840027928,93
Dripping Springs,AZ,Arizona,4007,Gila,33.105,-110.7552,165,9,polygon,FALSE,TRUE,America/Phoenix,3,85192,1840075316,87.5
Drysdale,AZ,Arizona,4027,Yuma,32.6452,-114.7067,449,1059,polygon,FALSE,TRUE,America/Phoenix,3,85365,1840075320,98.5
Dudleyville,AZ,Arizona,4021,Pinal,32.9127,-110.7345,568,32,polygon,FALSE,FALSE,America/Phoenix,3,85192,1840019358,88
Duncan,AZ,Arizona,4011,Greenlee,32.7344,-109.0972,788,141,polygon,FALSE,TRUE,America/Phoenix,3,85534,1840021986,83.5
Eagar,AZ,Arizona,4001,Apache,34.1058,-109.2956,6089,167,polygon,FALSE,TRUE,America/Phoenix,3,85938 85925,1840021623,72
East Fork,AZ,Arizona,4017,Navajo,33.8081,-109.9228,699,130,polygon,FALSE,FALSE,America/Phoenix,3,85941,1840018961,70
East Globe,AZ,Arizona,4007,Gila,33.3511,-110.7061,258,29,polygon,FALSE,TRUE,America/Phoenix,3,85550,1840075328,84
East Verde Estates,AZ,Arizona,4007,Gila,34.2983,-111.3645,167,25,polygon,FALSE,TRUE,America/Phoenix,3,85541,1840075337,82
Ehrenberg,AZ,Arizona,4012,La Paz,33.6174,-114.4883,844,27,polygon,FALSE,FALSE,America/Phoenix,3,85334 85346,1840017958,100
El Capitan,AZ,Arizona,4007,Gila,33.2383,-110.7833,121,7,polygon,FALSE,TRUE,America/Phoenix,3,85192 85501,1840075340,84
El Mirage,AZ,Arizona,4013,Maricopa,33.5905,-112.3271,35216,1374,polygon,FALSE,TRUE,America/Phoenix,3,85335,1840020562,97
El Prado Estates,AZ,Arizona,4027,Yuma,32.7062,-114.5215,665,265,polygon,FALSE,TRUE,America/Phoenix,3,85365,1840075355,97.5
Elephant Head,AZ,Arizona,4019,Pima,31.7659,-110.9921,735,38,polygon,FALSE,TRUE,America/Phoenix,3,85645,1840075344,88.5
Elfrida,AZ,Arizona,4003,Cochise,31.6858,-109.6896,347,34,polygon,FALSE,FALSE,America/Phoenix,3,85610,1840023086,85
Elgin,AZ,Arizona,4023,Santa Cruz,31.668,-110.5347,112,7,polygon,FALSE,FALSE,America/Phoenix,3,85611,1840018173,76.5
Eloy,AZ,Arizona,4021,Pinal,32.747,-111.5991,19168,65,polygon,FALSE,TRUE,America/Phoenix,3,85131 85194 85193 85123,1840020628,96
First Mesa,AZ,Arizona,4017,Navajo,35.8389,-110.3665,1928,47,polygon,FALSE,FALSE,America/Phoenix,3,86042,1840027978,78
Flagstaff,AZ,Arizona,4005,Coconino,35.1872,-111.6195,78628,420,polygon,FALSE,TRUE,America/Phoenix,3,86001 86011 86004 86002 86005,1840020335,70.5
