city,lat,lng,temp
Whipple,34.5527787,-112.4552462,79
Wickenburg,33.9697664,-112.7301882,90
Williams,35.2494566,-112.1910031,71.5
Winkelman,32.9875659,-110.7709387,88
Winslow,35.0241873,-110.6973571,84.5
Wittmann,33.7763856,-112.5282591,95.5
Yarnell,34.2216927,-112.7474007,90
Young,34.1014318,-110.9637358,78.5
Youngtown,33.5939281,-112.3029362,97
Yucca,34.8722245,-114.1494117,77.5
Yuma,32.6926512,-114.6276916,97.5
