id,name,coord/lat,coord/lon,main/temp,main/feels_like,main/temp_min,main/temp_max,main/pressure,main/humidity,dt,wind/speed,wind/deg,sys/country,rain,snow,clouds/all,weather/0/id,weather/0/main,weather/0/description,weather/0/icon
5330567,Brawley,32.98,-115.53,55.6,49.26,46.4,64.99,1016,50,1581182154,6.42,137,US,,,1,721,Haze,haze,50d
3979439,Progreso,32.58,-115.58,50.29,44.78,46.4,53.6,1016,50,1581182101,3.53,153,MX,,,1,721,Haze,haze,50d
5332929,Calipatria,33.13,-115.51,54.61,48.11,46.4,61,1016,50,1581182154,6.42,137,US,,,1,721,Haze,haze,50d
5394279,Seeley,32.79,-115.69,55.4,49.03,46.4,64.99,1016,50,1581182155,6.42,137,US,,,1,721,Haze,haze,50d
5408445,Westmorland,33.04,-115.62,56.41,50.2,46.4,64.99,1016,50,1581182159,6.42,137,US,,,1,721,Haze,haze,50d
5293951,Ehrenberg,33.6,-114.53,56.77,51.55,51.8,60.01,1017,43,1581182154,3.6,168,US,,,1,800,Clear,clear sky,01d
5372433,Mesa Verde,33.61,-114.73,56.14,50.83,51.8,60.01,1017,43,1581182155,3.6,168,US,,,1,800,Clear,clear sky,01d
5329649,Blythe,33.61,-114.6,56.68,51.44,51.8,60.01,1017,43,1581182154,3.6,168,US,,,1,800,Clear,clear sky,01d
5377032,Niland,33.24,-115.52,56.34,50.11,46.4,61,1016,50,1581182155,6.42,137,US,,,1,721,Haze,haze,50d
5310183,Quartzsite,33.66,-114.23,57.15,50.34,51.8,60.01,1017,43,1581182154,6.53,137,US,,,1,800,Clear,clear sky,01d
5391503,Salton City,33.3,-115.96,58.5,52.09,53.6,64.99,1016,38,1581182155,5.28,138,US,,,1,800,Clear,clear sky,01d
