city,lat,lng,station,avg temp F August 2018,zips
Guadalupe,33.3664,-111.9633,TEMPE,96,85283
Williams,35.2476,-112.1833,WILLIAMS,71.5,86046
Wilhoit,34.4083,-112.6156,IRON SPRINGS ,77,86332
Kachina Village,35.0949,-111.6927,FLAGSTAFF,70.5,86001
La Paz Valley,33.5578,-114.2434,QUARTZSITE,100,85346
Theba,32.9181,-112.8903,PAINTED ROCK DAM,99,85337
Greasewood,35.5279,-109.8613,HOPI ,78,86505
Santa Rosa,32.3326,-112.0464,SELLES ,92,85634
Icehouse Canyon,33.3553,-110.7965,GLOBE ,84,85501
Sells,31.9202,-111.8775,SELLES ,92,85634
El Prado Estates,32.7062,-114.5215,YUMA QUARTERMASTER DEPOT,97.5,85365
Mayer,34.4233,-112.2408,CORDES,83,86333
Spring Valley,34.3531,-112.1513,CORDES,83,86333
Tucson Estates,32.1792,-111.1254,TUCSON,93,85713 85735
San Carlos,33.35,-110.4654,SAN CARLOS #1 ,89,85550
Queen Creek,33.2367,-111.6389,MESA,96,85142
Dateland,32.8209,-113.5418,TACNA,99.5,85333 85347
Lake Montezuma,34.6414,-111.796,MONTEZUMA CASTLE NM,83,86335 86342
Sacaton Flats Village,33.0559,-111.65899999999999,CASA GRANDE NATL MONUMENT,93.5,85147 85128
Ventana,32.4681,-112.2434,AJO,95,85634 85321
Cedar Creek,33.903,-110.1929,LIMESTONE CANYON ,74,85941
Pima,32.8886,-109.8437,SAFFORD AGRICULTURAL CENTER,87.5,85543
San Simon,32.2679,-109.2308,SAN SIMON,84.5,85632
Stotonic Village,33.1528,-111.8167,CASA GRANDE NATL MONUMENT,93.5,85248 85147
Jakes Corner,34.0083,-111.3202,PAYSON ,82,85541
Tees Toh,35.4849,-110.3989,HOPI ,78,86047
Yuma,32.5991,-114.5488,YUMA MCAS - COOP,98.5,85365 85364 85369
McNary,34.0924,-109.8541,MC NARY,68,85935 85930
Avra Valley,32.4195,-111.3393,TUCSON,93,85653
Ak-Chin Village,33.0197,-112.0808,PHOENIX AIRPORT,101,85139
Verde Village,34.711999999999996,-111.994,TUZIGOOT,88,86326
