"install_yr","customer_group","avg_price_k","med_price_1k","sum_price_1k","installations","avg_discounts_1k","med_discounts_1k","sum_discounts_1k","avg_income_1k","avg_population","avg_log_population","avg_temperature","avg_module_1_efficiency","avg_ilr","avg_system_size"
2013,"Unknown","34.9233148148148","32.5","1885.859","54","3.97883333333333","3.537","119.365",NULL,NULL,NULL,NULL,NULL,NULL,"9.496851850439"
2014,"Non-Residential","864.583945396808","405.706","120177.168410156","139","337.148763604648","144.21759765625","46526.5293774414","53.6046511627906977","378235.217391304348","5.10218182224507","94.9444444444444","0.158502109850255","1.16518028933778","189.247842712368"
2014,"Residential","33.0243314344948","30.8","272780.977648927","8260","0.465999859315305","0.25","2818.83314899828","58.5160481444332999","459118.733758700696","5.32203806290093","96.4559013073099","0.158128717958266","1.16144419711488","7.86020682132995"
2014,"Unknown","29.68563","28.95","5937.126","200","2.46034615384615","1.75","255.876",NULL,NULL,NULL,NULL,NULL,NULL,"6.89284998893738"
2015,"Non-Residential","134.904209551181","30.149","46137.2396665039","342","189.2198671574","29.546","13813.0503024902","53.6734693877551020","679195.435483870968","5.40132176424721","95.9230769230769","0.161271851446669","1.14831203864171","38.7208040431578"
2015,"Residential","34.5090525300509","31.416","250742.77568335","7266","0.0759455395501643","0","300.5165","59.2178077332387371","552932.641644325290","5.47427633984926","97.205674801529","0.158102054243796","1.17605190215672","8.30390155333036"
2015,"Unknown","32.9140612244898","29.26","3225.578","98","2.28542708333333","1.98","219.401",NULL,NULL,NULL,NULL,NULL,NULL,"9.04153056047401"
2016,"Non-Residential","533.427851764547","286.44","92816.4462070312","174","5.45218561746988","0","905.0628125","62.8888888888888889","492585.051282051282","5.47962391858027","96.5769230769231","0.164718629498231","1.24258297834641","196.480074753706"
2016,"Residential","328.008636502222","28.9","5326860.25679609","16240","0.00171672430053442","0","27.3045","58.8997826920618688","419805.325137350266","5.15373260000932","96.5217303005686","0.165697450430679","1.16273087161008","7.90259229385941"
2016,"Unknown","34.2283035714286","30.177","1916.785","56","0.707928571428571","0.342","39.644",NULL,NULL,NULL,NULL,NULL,NULL,"10.9874999863761"
2017,"Non-Residential","463.362697024001","94.742","44946.1816113281","97","12.0242348845109","0","1106.229609375","60.6250000000000000","770572.656250000000","5.69354282796026","97.0147058823529","0.16830899938941","4.64262170826688","201.035834966247"
2017,"Residential","45.3167987705446","26.4045","1088872.04085865","24028","0","0","0","65.9777958700318259","410173.876603685561","5.15320883704341","96.676693278393","0.177761704252217","1.12963132290014","8.02387875435613"
2017,"Unknown","36.5430606060606","33","3617.763","99","0.288616161616162","0.28","28.573",NULL,NULL,NULL,NULL,NULL,NULL,"10.8848484429446"
2018,"Non-Residential","491.946652319931","302.022","60509.4382353515","123","0","0","0","66.4210526315789474","766481.578947368421","5.73305044594756","97.6842105263158","0.167069525403135","1.17315969027971","178.538504784669"
2018,"Residential","43.5287842969436","26.191","931080.696111624","21390","0.0146703837323713","0","313.110000000001","67.0558232566596963","413755.597484276730","5.16553778836453","96.5220848056537","0.185304944154178","1.12279872449386","8.42114122812438"
2018,"Unknown","31.9236666666667","30.369","1149.252","36","0.297861111111111","0.315","10.723",NULL,NULL,NULL,NULL,NULL,NULL,"10.0652777287695"
